price,volume,sma
14.55,58667077,10.84
14.4,55591593,10.86
14.48,69262644,10.89
14.66,93159882,10.92
14.6,66777363,10.95
14.55,57362205,10.98
14.53,100920864,11.01
14.57,65693315,11.04
14.59,61188493,11.07
14.63,71507025,11.1
14.7,66982128,11.14
14.67,69057879,11.17
14.8,76822876,11.2
14.74,91557900,11.23
14.85,112797213,11.27
14.76,105947635,11.3
14.82,141789477,11.34
14.87,103233500,11.38
14.94,75513988,11.41
15.2,83218760,11.45
15.37,34476745,11.49
15.48,68170566,11.53
15.39,57205620,11.56
15.47,58843737,11.6
15.4,48974884,11.63
15.57,78541293,11.67
15.5,120638494,11.71
15.11,159744526,11.74
14.76,257533695,11.77
14.96,189680313,11.8
14.93,289597429,11.83
14.67,194859654,11.86
14.59,260838034,11.89
14.66,170239717,11.92
14.41,218194794,11.95
