price,volume,sma
14.37,4327369,17.42
14.51,2675213,17.42
13.99,3317454,17.41
13.85,3509260,17.41
13.61,1995925,17.4
13.19,2657458,17.4
13.28,2351995,17.39
13.8,4130950,17.39
13.14,7051512,17.39
11.88,10592786,17.38
12.39,11596550,17.37
12.51,3200162,17.36
12.79,4587677,17.35
13.14,3756566,17.34
13.17,3080353,17.33
13.4,2047930,17.32
13.37,2579729,17.31
13.04,2774611,17.3
13.26,3653533,17.29
13.03,3939424,17.27
13.06,1972298,17.26
12.76,3014507,17.24
12.37,8376956,17.23
12.49,4618992,17.21
12.8,2676471,17.19
12.3,2775869,17.17
12.42,3565040,17.15
12.18,2903227,17.13
12.77,3947812,17.11
13.71,7680892,17.1
13.81,4590333,17.08
13.82,2627261,17.07
13.51,2235542,17.05
13.55,2210378,17.03
13.82,4573417,17.02
14.03,4229789,17.0
14.08,3552877,16.99
13.68,2481170,16.97
13.65,3216379,16.96
13.17,2753780,16.94
12.89,4113475,16.92
12.85,2758394,16.91
13.04,3012410,16.89
13.02,3475009,16.87
13.88,4416142,16.86
14.21,5186580,16.85
14.01,4635488,16.84
13.9,3797108,16.82
13.72,3538478,16.81
13.42,3189956,16.79
13.38,4421035,16.77
13.23,5718239,16.75
13.54,4301646,16.74
13.36,3488290,16.72
13.76,3933972,16.7
13.87,3285020,16.68
13.72,4647371,16.66
14.32,5017142,16.64
14.83,5310443,16.63
14.43,3932714,16.6
14.46,2500043,16.58
14.69,3351146,16.56
15.08,3719798,16.53
14.97,2952576,16.51
15.13,3299979,16.49
14.92,2830111,16.46
15.04,3595936,16.44
14.99,5250049,16.41
15.07,3052813,16.38
15.22,3431251,16.35
15.56,3211905,16.33
15.43,2274965,16.3
15.12,2208700,16.27
15.5,3480181,16.24
13.63,27064721,16.2
13.76,7632661,16.16
13.85,4765502,16.12
14.11,4839736,16.08
14.12,3528971,16.04
13.96,2884493,16.01
13.93,2619992,15.96
13.78,2979557,15.92
13.99,2250640,15.88
13.98,866760,15.84
13.91,1966287,15.79
13.82,2042618,15.75
14.3,2731133,15.71
14.51,4096280,15.67
14.61,2780482,15.64
14.67,1868567,15.6
14.42,2484805,15.57
14.2,2414346,15.54
14.31,2912733,15.51
14.3,2333542,15.48
14.39,2191645,15.45
14.61,2709604,15.42
14.6,3147178,15.39
14.29,2522831,15.36
14.38,3656888,15.33
14.23,2171234,15.29
14.38,2538349,15.26
14.49,2248124,15.24
14.47,1678579,15.21
14.37,3111529,15.2
14.49,1716325,15.17
14.72,2049328,15.15
14.54,1724153,15.14
14.55,1650479,15.11
14.42,3378826,15.09
14.03,3746920,15.07
14.03,3898603,15.05
13.72,3158641,15.03
13.71,2624326,15.01
13.64,3946135,14.99
13.41,3071965,14.96
13.39,3756845,14.93
13.11,3330875,14.9
13.31,2851640,14.88
13.54,3523519,14.85
13.32,3640811,14.82
13.43,5632961,14.79
13.16,5165051,14.75
12.94,4936757,14.72
13.16,2952716,14.69
13.28,2882396,14.66
13.28,2677310,14.63
13.04,2934122,14.61
13.35,2656899,14.58
13.59,2836542,14.56
13.7,2423992,14.54
13.34,2773912,14.52
13.55,3140467,14.5
13.96,3863653,14.48
14.34,4378396,14.46
13.94,2506894,14.44
13.91,1859620,14.43
14.32,2784816,14.41
14.5,3926842,14.4
14.72,9975569,14.39
14.45,3941521,14.38
14.31,3459351,14.37
14.23,2814593,14.36
14.17,2407775,14.35
13.87,4493312,14.34
14.0,5444930,14.34
14.22,4985128,14.33
14.49,3712808,14.32
14.78,4375600,14.32
14.69,2401345,14.32
14.75,2720508,14.31
14.55,2358426,14.31
